id,name,code
1,Epoxy Flooring,2-500 - Utility Services
2,Structural & Misc Steel Erection,2-000 - General
3,Glass & Glazing,2-780 - Clay Unit Pavers
4,Masonry,2-823 - PVC Fences and Gates
5,Soft Flooring and Base,9-680 - Carpet
6,Sitework & Site Utilities,"15-950 - Testing, Adjusting, and Balancing"
7,Curb & Gutter,13-240 - Oxygenation Systems
8,Masonry & Precast,7-600 - Flashing and Sheet Metal
9,Masonry,14-300 - Escalators and Moving Walks
10,Rebar & Wire Mesh Install,3-330 - Poured Concrete Basement Walls
